Data/ Date,Dług EDP (mld zł)/EDP debt (PLN bn),Depozyty/ Deposits,Krótkoterminowe dłużne papiery wartościowe/ Short-term debt securities,Długoterminowe dłużne papiery wartościowe/ Long-term debt securities,Krótkoterminowe kredyty i pożyczki/ Short-term loans,Długoterminowe kredyty i pożyczki/ Long-term loans,Dług EDP - instytucje rządowe/ EDP debt  - central government,Dług EDP - instytucje samorządowe/ EDP debt - local government,Dług EDP - fundusze zabezpieczenia społecznego/ EDP debt - social security funds,Dług EDP (%PKB)/ EDP debt (% of GDP),Państwowy dług publiczny (mld zł)/ Public debt (PLN bn),Państwowy dług publiczny (%PKB)/ Public debt (% of GDP)
2001-12-31,291.2,0.1,33.0,147.9,3.2,107.0,281.0,10.4,9.5,37.1,302.1,38.5
2002-03-31,316.5,0.1,38.7,165.1,2.9,109.7,307.0,10.6,9.1,39.8,327.7,41.2
2002-06-30,328.6,0.1,42.4,169.5,4.0,112.7,317.7,11.0,10.1,41.0,341.3,42.5
2002-09-30,339.8,0.0,41.0,182.8,4.4,111.5,327.8,11.6,10.5,42.0,353.3,43.7
2002-12-31,338.7,0.0,39.0,185.0,5.0,109.7,323.8,13.5,11.1,41.6,352.4,43.2
2003-03-31,363.8,0.0,39.8,207.9,4.6,111.4,349.6,13.3,4.6,44.4,377.9,46.1
2003-06-30,374.1,0.0,41.8,218.2,4.9,109.1,358.8,13.4,4.9,45.1,388.6,46.9
2003-09-30,379.5,0.0,41.0,225.5,4.6,108.3,364.2,14.1,4.4,45.3,394.4,47.1
2003-12-31,394.5,0.0,45.0,231.3,8.8,109.2,373.5,15.4,8.7,46.4,408.3,48.0
2004-03-31,422.0,0.0,46.7,259.3,8.5,107.5,402.3,14.9,8.1,48.5,434.7,50.0
2004-06-30,427.2,0.0,48.0,265.9,10.6,102.7,406.4,14.8,9.1,48.1,438.3,49.3
2004-09-30,427.9,0.0,49.5,271.3,10.1,96.9,406.2,15.7,9.5,47.1,438.7,48.3
