Nr wpisu,Data dokonania wpisu,Nazwa przedsiębiorcy zagranicznego,Siedziba przedsiębiorcy zagranicznego,Kraj przedsiębiorcy zagranicznego,Forma prawna przedsiębiorcy zagranicznego,Przedmiot głównej działalności gospodarczej przedsiębiorcy zagranicznego,Imię i nazwisko osoby upoważnionej w przedstawicielstwie do reprezentowania przedsiębiorcy zagranicznego,Adres siedziby przedstawicielstwa na terytorium RP,Kod pocztowy,Miasto,Województwo,Data wykreślenia przedstawicielstwa z rejestru,Ostatni dzień obowiązywania wpisu
52,2000-12-04,EASTMAN CHEMICAL B.V. ,Watermanweg 70 3067GG Rotterdam  ,Niderlandy,niepubliczna spółka z o.o.,"Produkcja, obróbka, prowadzenie handlu i magazynowanie w odniesieniu do produktów chemicznych, w tym sypkich i płynnych produktów chemicznych, tworzyw sztucznych i włókien, gazów przemysłowych, artykułów spożywczych i żywności, jak również produktów farmaceutycznych, świadczenie usług innym przedsiębiorstwom (zwłaszcza przetwórstwo na zamówienie dla przemysłu chemicznego).",Maciej Poseł,Rondo Daszyńskiego 2 B,00-843,Warszawa,mazowieckie,Aktywne,30.04.2026
69,2000-09-05,ADAMS Armaturen GmbH,Baukauer Str. 55 44653 Herne,Niemcy ,spółka z o.o.,"Rozwój, konstrukcja, produkcja oraz sprzedaż armatur każdego rodzaju. Spółka może prowadzić wszelkiego rodzaju interesy, które służą realizacji tego celu. Spółka może posiadać udziały szczególnie w podobnych przedsiębiorstwach lub może nabywać przedsiębiorstwa podobnego rodzaju.",Herbert Wzientek,ul. Mehoffera 71  ,03-118,Warszawa,mazowieckie,Wykreślone 01-05-2024,
78,2000-05-29,AOP Orphan Pharmaceuticals Aktiengesellschaft,Wilhelminenstraße 91/IIf 1160 Wiedeń,Austria,spółka akcyjna,"Handel towarami, w szczególności środkami farmaceutycznymi i produktami diagnostycznymi, rozwój i produkcja środków farmaceutycznych i produktów diagnostycznych, nabywanie i zarządznie udziałami w innych krajowych i zagranicznych przedsiębiorstwach, w szczególności o tym samym, lub podobnym profilu działalności, nabywanie praw własności na środki farmaceutyczne i produkty diagnostyczne.",Jarosław Marcoll,Al. Niepodległości 69,02-626,Warszawa,mazowieckie,Wykreślone 11-07-2020,
79,2000-05-30,"LOGISTICS PLUS, Inc.",1406 Peach Street PA 16501 Erie ,Stany Zjednoczone Ameryki ,spółka z o.o.,Spółka jest dostawcą logistyki osobom trzecim. Działalność Spółki obejmuje prowadzenie wszelkiego rodzaju działalności transportowej/spedycyjnej.,Paweł Wroński,ul. Hanasiewicza 19,35-103,Rzeszów,podkarpackie,Aktywne,30.04.2026
84,2000-05-06,Vossloh-Schwabe Deutschland GmbH,Wassenstr. 25 73660 Urbach ,Niemcy,spółka z o.o.,"Rozwój, produkcja jak również dystrybucja produktów elektrotechnicznych w kraju i za granicą pod znakiem towarowym ""Vossloh"".",Łukasz Niemczycki,ul. Dr. Jana Piltza 48/15 ,30-392,Kraków,małopolskie,Wykreślone 11-07-2020,
86,2000-05-06,Wilhelm Tatje KG,Hauptstraße 2 14979 Großbeeren ,Niemcy,spółka komandytowa,Promocja i reklama wyrobów firm należących do Grupy WAFIOS będących producentami maszyn do przeróbki drutu.,Wojciech Radziński,ul. Konduktorska 4,00-775,Warszawa,mazowieckie,Aktywne,30.04.2026
88,2000-12-06,HL Hutterer & Lechner GmbH,Brauhausgasse 5 2325 Himberg,Austria,spółka z o.o.,"Produkcja i dystrybucja artykułów z tworzyw sztucznych wszelkiego rodzaju, a także przetwórstwo i dystrybucja metali. ",Marcin Biziorek ,ul. Krucza 3/4,41-100,Siemianowice Śląskie,śląskie,Aktywne,30.04.2026
91,2000-06-15,Hamamatsu Photonics Deutschland GmbH,Arzbergerstrasse 10 D-82211 Herrsching,Niemcy,spółka z o.o.,"Produkcja, obrót i montaż systemów, sprzętu i akcesoriów elektronicznych i fotoelektronicznych oraz prowadzenie podobnej działalności w Republice Federalanej Niemiec, jak również innych krajach europejskich, ponadto troska o interesy Hamamatsu Photonics K.K. spółki z siedzibą w Hamamatsu, w Japonii i jej filii. Przedsiębiorstwo jest uprawnione do podejmowania działalności w innych sferach działalności gospodarczej oraz nabywania lub dokonywania inwestycji w przedsiębiorstwach o tym samym lub podobnym charakterze w kraju i za granicą, a także tworzenie filii i oddziałów. Spółka jest ponadto uprawniona do dokonywania wszelkich transakcji i wykonywania wszelkich czynności niezbędnych dla właściwej realizacji swych celów.",Jarosław Leopold Baszak,ul. Erazma Ciołka 10 lok. 126 i 127,01-402,Warszawa,mazowieckie,Wykreślony 01-05-2024,
99,2000-07-18,"Otkrytoje Akcjoniernoje Obszczestwo ""Gazprom Transgaz Biełaruś"" (nazwa skrócona: OAO ""Gazprom Transgaz Biełaruś"")",ul. Niekrasowa 9 220040 Mińsk,Białoruś,spółka akcyjna,Dostawa gazu ziemnego do Republiki Białorusi i świadczenie usług związanych z transportem gazu.,Arkadz Makavitski ,gm. Michałowo,16-054,Kondratki,podlaskie,Wykreślone 20-02-2023,
103,2000-07-31,ARUM-TEC Co. Ltd.,"Dobong-ro 191, p.4, Gangbuk-gu, 01-301 Seul",Republika Korei,spółka akcyjna,"Produkcja tekstyliów, handel hurtowy i detaliczny tekstyliami, eksport i/lub import tekstyliów oraz towarów różnych, przetwarzanie tekstyliów, eksport i import w imieniu innych podmiotów oraz działając jako broker (tekstyliów), działalność powiązania z wyżej wymienionymi.",Poong-Kil LEE,Al. Krakowska 41 lok. 5,05-090,Janki,mazowieckie,Aktywne,30.04.2026
111,2000-08-24,LONZA AG,Münchensteinerstrasse 38 CH-4002 Basel,Szwajcaria,spółka akcyjna,Wytwarzanie produktów chemicznych.,Beata Olędzka ,ul. Gwiaździsta 71,01-651,Warszawa,mazowieckie,Wykreślone 31-12-2020,
123,2000-09-13,INTERMO CHEMIE B.V.,Vissersbocht 9 2011AT Haarlem,Niderlandy,spółka z o.o.,"Import i eksport oraz handel tranzytowy jak również ponowne zużytkowanie surowców przemysłowych, w tym chemikaliów.",Ewa Małgorzata Lipecka,ul. Łabędzia 11,05-420,Józefów,mazowieckie,Wykreślone 29-09-2022,
127,2000-09-22,FRENCH CONNECTION LIMITED,1 Old Burlington Str London W1X 1 LA,Wielka Brytania,spółka z o.o.,"Zakres działalności French Connection Limited obejmuje głównie projektowanie, produkcję, sprzedaż detaliczną i hurtową oraz eksport i import artykułów odzieżowych, w szczególności takich, jak ubrania kobiece i dziecięce, trykotaże, rękawiczki, nakrycia głowy, koszule, płaszcze wiatrówki, togi, garnitury oraz bielizna.",Małgorzata Stasiak,ul. Elektronowa 6 lok. 011 ,94-103,Łódź,łódzkie,Wykreślone 11-07-2020,
141,2000-10-10,AVL List GmbH,Hans List Platz 1 8020 Graz,Austria,spółka z o.o.,"Rozwój, produkcja i sprzedaż maszyn, aparatury i urządzeń wszelkiego typu, szczególnie urządzeń mierniczych do budowy silników, a także do innych celów, ponadto silników spalinowych, a w szczególności silników doświadczalnych, prototypów i części do nich, produkcja i sprzedaż stacji pomiarowych i wszelkiego rodzaju urządzeń badawczych i kontrolnych zarówno do innych maszyn spalinowych i roboczych. Przedsiębiorstwo zajmuje się również doradztwem.","Eliza Kotowska,Thomas Erich Scheucher",ul. Wybrzeże Gdyńskie 6A,01-531,Warszawa,mazowieckie,Aktywne,30.04.2026
157,2000-08-11,NORTRADE PHARMA AG,NORTRADE PHARMA AG Lebernhöhe 1 8123 Ebmatingen,Szwajcaria,spółka akcyjna,"Handel chemicznymi, farmaceutycznymi i pokrewnymi surowcami, półproduktami oraz produktami gotowymi w branży farmaceutycznej. Tworzenie sieci dystrybucji ww. produktów.",Paweł Walkiewicz,Al. Jerozolimskie 151 lok. U 1,02-326,Warszawa,mazowieckie,Wykreślone 11-07-2020,
166,2000-08-12,ZF Friedrichshafen AG,Löwentalerstr. 20 88046 Friedrichshafen ,Niemcy,spółka akcyjna,"Projektowanie, produkcja i  sprzedaż technicznych elementów i systemów do budowy pojazdów, maszyn i urządzeń, w szczególności do mechanizmów jezdnych i napędowych, sprzedaż usług inżynieryjnych oraz wszelka działalność z tym związana. W celu osiągnięcia powyższych celów przedsiębiorstwa spółka może obejmować udziały w innych spółkach, zakładać oddziały, zawierać umowy konsorcyjne lub podobne, które wydają się służyć realizacji celów przedsiębiorstwa."," Peter Rothenhöfer, Justyna Mlądzka ",Rondo ONZ 1,00-124,Warszawa,mazowieckie,Wykreślone 10-07-2020,
